Name,Naics Code Description,NAICS Code,Address,City,County,State,Zip Code,"Excess Food Estimate, Low (tons per year)","Excess Food Estimate, High (tons per year)",UniqueID,Longitude,Latitude,AvgExcessFoodWaste
Urc LLC,Limited-Service Restaurants,722513,30 Cushing Ave,Haverhill,Essex,MA,1830,76.067,91.5,RFS365880,-71.103244654133,42.813741354377,83.7835
Ureserv Inc,Full-Service Restaurants,722511,464 Common St Ste 253,Belmont,Middlesex,MA,2478,13.531518,20.352,RFS201697,-71.174754746649,42.381014928728,16.941759
US Fried Chicken and Pizza,Limited-Service Restaurants,722513,305 Walnut St,Springfield,Hampden,MA,1105,8.9233485,15,RFS368287,-72.56745441726,42.101541351303,11.96167425
USA Cafe Beefen Path Inc,Full-Service Restaurants,722511,1 Chace Rd,East Freetown,Bristol,MA,2717,2.5369905,13.568,RFS26314,-70.955994912372,41.770474663834,8.05249525
USA Concessions Inc,Limited-Service Restaurants,722513,23 Skyline Dr,Billerica,Middlesex,MA,1821,3.8903535,13.5,RFS349385,-71.266794369245,42.564451273661,8.69517675
V & F Enterprises,Limited-Service Restaurants,722513,18 North Rd Ste 1,Bedford,Middlesex,MA,1730,16.9143975,16.9143975,RFS330409,-71.285295852428,42.494468721652,16.9143975
V E Toscana Corporation,Full-Service Restaurants,722511,5a Playstead Rd,Medford,Middlesex,MA,2155,5.0230785,6.784,RFS227228,-71.132546345988,42.421417620609,5.90353925
V M Corp,Full-Service Restaurants,722511,583 Westford St,Lowell,Middlesex,MA,1851,1.91598,11.872,RFS225248,-71.336987149739,42.633814633105,6.89399
Valenti's Restaurant Inc,Limited-Service Restaurants,722513,1 Cooper St,Agawam,Hampden,MA,1001,4.7660415,7.5,RFS284140,-72.615586712841,42.081318707536,6.13302075
Valeria G Arese,Full-Service Restaurants,722511,29 Wamesit St,Lowell,Middlesex,MA,1852,2.5828935,15.264,RFS150170,-71.304507793539,42.636718170475,8.92344675
Vallejo Restaurant LLC,Full-Service Restaurants,722511,111 Blue Hill Ave,Roxbury,Suffolk,MA,2119,1.4395095,11.872,RFS43995,-71.077637779016,42.321088778074,6.65575475
Valley Green Feast Collective Inc,Full-Service Restaurants,722511,12 Arnold Ave APT 5,Northampton,Hampshire,MA,1060,10.379721,18.656,RFS53453,-72.63671611118,42.315993869247,14.5178605
"Vallier, LLC",Full-Service Restaurants,722511,281 Essex St,Salem,Essex,MA,1970,16.0882425,25.44,RFS147840,-70.897507213741,42.521378995187,20.76412125
"Van's Pizza, Inc.",Limited-Service Restaurants,722513,510 Westfield Rd,Holyoke,Hampden,MA,1040,11.600358,19.5,RFS402854,-72.651996102505,42.186294817002,15.550179
Vans Restaurant & Bar,Full-Service Restaurants,722511,1154 Dorchester Ave,Dorchester,Suffolk,MA,2125,7.3122225,7.3122225,RFS49779,-71.057458306437,42.311538824981,7.3122225
Varsity Bar and Grille LLC,Limited-Service Restaurants,722513,9 Kelley Sq,Worcester,Worcester,MA,1610,13.6283565,13.6283565,RFS441101,-71.797460957864,42.254741559506,13.6283565
Vc Restaurant Group Inc,Full-Service Restaurants,722511,158 Main St,Hudson,Middlesex,MA,1749,2.1766305,5.088,RFS85768,-71.565101390744,42.391353455059,3.63231525
Vedas Pizza,Limited-Service Restaurants,722513,65 Laurel St,Fitchburg,Worcester,MA,1420,1.998018,9,RFS419434,-71.799354915425,42.580776709908,5.499009
Vedat Kan Millies Kitchen Deli and Pizzeria,Limited-Service Restaurants,722513,254 Pinewood Rd,Ludlow,Hampden,MA,1056,7.1386755,12,RFS356484,-72.462931540227,42.181951995349,9.56933775
Vee Vee,Full-Service Restaurants,722511,763 Centre St,Jamaica Plain,Suffolk,MA,2130,21.2632035,27.136,RFS254991,-71.115103566477,42.310235993857,24.19960175
"Vegan Proteins, LLC",Limited-Service Restaurants,722513,15 Locust St APT 4,Haverhill,Essex,MA,1830,12.870594,18,RFS318283,-71.084284879075,42.774919797252,15.435297
Vegetariana Inc,Full-Service Restaurants,722511,25 Mystic Ave,Tewksbury,Middlesex,MA,1876,1.7431755,1.7431755,RFS136346,-71.196830487377,42.567891985431,1.7431755
Veggie Crust,Limited-Service Restaurants,722513,445 Somerville Ave,Somerville,Middlesex,MA,2143,14.6591445,19.5,RFS394086,-71.10254733919,42.382228047914,17.07957225
Veggie Galaxy LLC,Full-Service Restaurants,722511,450 Massachusetts Ave # 2,Cambridge,Middlesex,MA,2139,4.909608,16.96,RFS198743,-71.100989896071,42.363716815546,10.934804
Veggie Galaxy LLC,Full-Service Restaurants,722511,17 Powder House Ter,Somerville,Middlesex,MA,2144,6.659268,15.264,RFS92840,-71.11729608138,42.399175195138,10.961634
Vejigantes LLC,Full-Service Restaurants,722511,57 W Dedham St,Boston,Suffolk,MA,2118,5.1297345,47.488,RFS223100,-71.072761448615,42.341959064109,26.30886725
Vella Villa Pizza,Limited-Service Restaurants,722513,7 S End Bridge Cir,Agawam,Hampden,MA,1001,1.7980545,9,RFS423533,-72.588286099667,42.081694582914,5.39902725
Vel's Inc,Full-Service Restaurants,722511,2352 Cranberry Hwy,West Wareham,Plymouth,MA,2576,32.8366335,101.76,RFS130816,-70.751502848137,41.789613905998,67.29831675
"Venetian Moon Ristorante, Inc",Full-Service Restaurants,722511,680 Main St,Reading,Middlesex,MA,1867,7.206177,10.176,RFS241721,-71.10292940124,42.523884454535,8.6910885
Veneto Ristorante,Full-Service Restaurants,722511,17 Vinal Sq,North Chelmsford,Middlesex,MA,1863,13.531518,20.352,RFS92897,-71.383559929782,42.639470539095,16.941759
"Venice Pizza, LLC",Limited-Service Restaurants,722513,745 Boylston St FL 3,Boston,Suffolk,MA,2116,1.4395095,10.5,RFS428841,-71.080730990357,42.349266847231,5.96975475
Ventuno LLC,Full-Service Restaurants,722511,21 Federal St,Nantucket,Nantucket,MA,2554,19.32,51.234711,RFS116393,-70.099157863243,41.284579309077,35.2773555
Venture Restaurant Concepts,Full-Service Restaurants,722511,75 Whippoorwill Dr,Raynham,Bristol,MA,2767,2.9818965,15.264,RFS253328,-71.016448905008,41.924969683685,9.12294825
Venus Cafe,Limited-Service Restaurants,722513,47 South Ave,Whitman,Plymouth,MA,2382,6.7109625,21,RFS396951,-70.935016355037,42.080868302677,13.85548125
Vera Sapore,Full-Service Restaurants,722511,944 Main St,Walpole,Norfolk,MA,2081,10.3303695,16.96,RFS278383,-71.252191236836,42.146795514702,13.64518475
Veracruz Foods Inc,Full-Service Restaurants,722511,63 S Pleasant St,Amherst,Hampshire,MA,1002,11.04,13.568,RFS234665,-72.519902076842,42.374708113598,12.304
Veranda Cafe,Full-Service Restaurants,722511,6 Charlton St,Oxford,Worcester,MA,1540,3.80391,3.80391,RFS227285,-71.866406991537,42.116589731167,3.80391
Verchad,Limited-Service Restaurants,722513,152 Route 6a,Sandwich,Barnstable,MA,2563,4.533573,4.533573,RFS319998,-70.491250645358,41.757192410027,4.533573
Verona Pizza & Seafood,Limited-Service Restaurants,722513,18 Park St,Ayer,Middlesex,MA,1432,2.8681785,6,RFS330414,-71.590566321047,42.56165976951,4.43408925
Verona Restaurant,Full-Service Restaurants,722511,90 Lowell Ave,Newton,Middlesex,MA,2460,10.1486385,10.1486385,RFS271988,-71.209401725652,42.353845755162,10.1486385
Verra Catering Inc.,Limited-Service Restaurants,722513,42 Taft Ave,Brockton,Plymouth,MA,2301,1.741806,12,RFS390023,-71.066934628799,42.067354169364,6.870903
Vers Ability,Caterers,722320,5 Hatherly Rd,Boston,Suffolk,MA,2135,0.626967,0.626967,RFS16880,-71.153961967931,42.34269121559,0.626967
Vesta Mobile Wood-Fired Pizza LLC,Limited-Service Restaurants,722513,19 Maple St,Shirley,Middlesex,MA,1464,13.531518,18,RFS333725,-71.658523188492,42.542582170279,15.765759
Viale Restaurant,Full-Service Restaurants,722511,502 Massachusetts Ave,Cambridge,Middlesex,MA,2139,2.5781415,2.5781415,RFS209750,-71.101701313554,42.364146768017,2.5781415
Vice Cream,Limited-Service Restaurants,722513,745 Atlantic Ave,Boston,Suffolk,MA,2111,3.741,16.1205,RFS428836,-71.05666351956,42.350391156213,9.93075
Vicky's Restaurant,Full-Service Restaurants,722511,141 Essex St,Lynn,Essex,MA,1902,1.5834555,11.872,RFS73518,-70.932035365541,42.472893553025,6.72772775
Vico Ristorante Italiano,Full-Service Restaurants,722511,89 Central St,Norwood,Norfolk,MA,2062,3.145527,3.145527,RFS270727,-71.200104000433,42.193403562967,3.145527
Victor Dasilva,Limited-Service Restaurants,722513,1300 Pleasant St,Fall River,Bristol,MA,2723,1.2370875,3,RFS308374,-71.135470268225,41.691786200219,2.11854375
Victoria Chef Services,Full-Service Restaurants,722511,1195 Grafton St Unit 5,Worcester,Worcester,MA,1604,10.520301,18.656,RFS53239,-71.75312560469,42.239166278591,14.5881505
Victoria Evergreen Kitchen,Full-Service Restaurants,722511,336 Grafton St,Worcester,Worcester,MA,1604,1.561989,10.176,RFS168596,-71.78587614144,42.255860954398,5.8689945
Victoria Seafood Restaurant Inc,Full-Service Restaurants,722511,1029 Commonwealth Ave,Boston,Suffolk,MA,2215,1.2585375,1.2585375,RFS33963,-71.12192928157,42.352011216062,1.2585375
Victoria's Cafe,Full-Service Restaurants,722511,51 Spring St,Walpole,Norfolk,MA,2081,1.993365,1.993365,RFS211657,-71.258403815531,42.142536530336,1.993365
Victoria's Cucina Italiana,Full-Service Restaurants,722511,745 High St,Westwood,Norfolk,MA,2090,9.2973375,15.264,RFS252765,-71.223134447629,42.223243785453,12.28066875
Victors,Full-Service Restaurants,722511,175 Bradford St,Provincetown,Barnstable,MA,2657,4.346298,4.346298,RFS96395,-70.182212211061,42.055837279442,4.346298
"Victor's 50's Diner, Inc.",Full-Service Restaurants,722511,21 Washington St,Hudson,Middlesex,MA,1749,3.2911065,3.2911065,RFS116585,-71.570114300251,42.390959879071,3.2911065
Victors Italian Cuisine,Full-Service Restaurants,722511,1539 Broadway,Saugus,Essex,MA,1906,10.725495,16.96,RFS83627,-71.023783138965,42.454897341398,13.8427475
Vida Restaurant Group LLC,Full-Service Restaurants,722511,102 S Main St Unit C-1,Fall River,Bristol,MA,2721,1.4395095,11.872,RFS32878,-71.155895480849,41.700506229291,6.65575475
Viera Restaurant,Full-Service Restaurants,722511,510 Queen Anne Rd,Harwich,Barnstable,MA,2645,1.1295405,8.48,RFS211848,-70.069478473176,41.703978802366,4.80477025
Viet Citron LLC,Full-Service Restaurants,722511,30 Haven St Unit 3011,Reading,Middlesex,MA,1867,3.4204005,15.264,RFS153229,-71.106760710721,42.522248746589,9.34220025
Viet Grill,Full-Service Restaurants,722511,645 Washington St,Canton,Norfolk,MA,2021,1.6539435,1.6539435,RFS237209,-71.145476333532,42.154910240003,1.6539435
Viet Thai,Full-Service Restaurants,722511,368 Merrimack St,Lowell,Middlesex,MA,1852,25.935426,39.008,RFS176901,-71.314074945219,42.645958042205,32.471713
"Viga Eatery, Inc.",Full-Service Restaurants,722511,289 Devonshire St Ste 200,Boston,Suffolk,MA,2110,14.6184555,18.656,RFS149847,-71.057962192437,42.353920041775,16.63722775
Viking Sports,Full-Service Restaurants,722511,143 Cypress St,Brookline,Norfolk,MA,2445,2.107578,13.568,RFS75367,-71.126145391114,42.329794064939,7.837789
Viking's Pizza,Limited-Service Restaurants,722513,52 Bedford St,East Bridgewater,Plymouth,MA,2333,1.5834555,10.5,RFS404192,-70.958517098699,42.032806815137,6.04172775
Viko's Pizza & Ribs,Limited-Service Restaurants,722513,855 River St,Hyde Park,Suffolk,MA,2136,13.717,16.5,RFS438607,-71.108195198489,42.262837718629,15.1085
Villa Cafe Corporation,Full-Service Restaurants,722511,353 Washington St,Brighton,Suffolk,MA,2135,1.4395095,11.872,RFS173531,-71.15323400497,42.349190114759,6.65575475
Villa Napoletano,Full-Service Restaurants,722511,666 N Main St,East Longmeadow,Hampden,MA,1028,8.2064895,16.96,RFS240057,-72.538912677876,42.080849759005,12.58324475
Village Green II,Limited-Service Restaurants,722513,93 Main St,Haydenville,Hampshire,MA,1039,8.2985925,12,RFS444261,-72.711988952411,42.381921137482,10.14929625
Village Kitchen,Limited-Service Restaurants,722513,359 Huron Ave,Cambridge,Middlesex,MA,2138,2.475,2.475,RFS379425,-71.138499568832,42.381263601848,2.475
Village Pizza,Limited-Service Restaurants,722513,10 Main St,Shirley,Middlesex,MA,1464,9.630621,16.96,RFS284713,-71.655110918778,42.544386798857,13.2953105
Village Pizza,Limited-Service Restaurants,722513,121 Main St,Monson,Hampden,MA,1057,12.7660335,19.5,RFS303016,-72.3151231952,42.09887114759,16.13301675
Village Pizza,Limited-Service Restaurants,722513,320 Main St Ste 2,Spencer,Worcester,MA,1562,14.345859,22.5,RFS371901,-71.976363410417,42.251765607885,18.4229295
Village Pizza House,Limited-Service Restaurants,722513,312 Washington St,Brookline,Norfolk,MA,2445,3.984354,18.656,RFS370178,-71.119938711661,42.333306992044,11.320177
Village Restaurant of Essex Inc,Full-Service Restaurants,722511,55 Main St,Essex,Essex,MA,1929,23.1,67.84,RFS219720,-70.780126154488,42.632389018462,45.47
Village Roast Beef & Seafood,Full-Service Restaurants,722511,10 Bessom St,Marblehead,Essex,MA,1945,3.282213,15.264,RFS27172,-70.859070118039,42.500408897296,9.2731065
Villatoro Restaurant and Cafe Villatoro,Full-Service Restaurants,722511,353 Lincoln St,Marlborough,Middlesex,MA,1752,1.4395095,11.872,RFS173502,-71.556291531704,42.347408895556,6.65575475
Vincent Biancos Custom Catering,Caterers,722320,5 Brentwood Dr,Peabody,Essex,MA,1960,8.580396,13.568,RFS16861,-70.96862653191,42.514549006421,11.074198
Vincent's Asain Bistro,Full-Service Restaurants,722511,1160 N Main St,Randolph,Norfolk,MA,2368,2.397945,15.264,RFS50401,-71.060843387836,42.195317338147,8.8309725
Vincenzos Incorporated,Full-Service Restaurants,722511,29 Bryant St,Dedham,Norfolk,MA,2026,3.8539875,16.96,RFS150024,-71.172593742414,42.246974998048,10.40699375
"Vincenzo's Italian Deli, Inc.",Limited-Service Restaurants,722513,29 Bryant St,Dedham,Norfolk,MA,2026,6.198225,9,RFS363772,-71.172593742414,42.246974998048,7.5991125
Vine Ripe Grill,Limited-Service Restaurants,722513,1281 W Roxbury Pkwy,Chestnut Hill,Middlesex,MA,2467,0.8628345,0.8628345,RFS307354,-71.156740230742,42.30792449352,0.8628345
Vineyard Caribbean Cusine Inc.,Full-Service Restaurants,722511,28 Fairfield Ave,Vineyard Haven,Dukes,MA,2568,0.96525,5.088,RFS146981,-70.602557193785,41.464563458314,3.026625
Vinnies Beachside Cafe,Full-Service Restaurants,722511,183 North End Blvd,Salisbury,Essex,MA,1952,1.741806,13.568,RFS100928,-70.817941883903,42.851072951492,7.654903
Vinny TS of Boston,Limited-Service Restaurants,722513,867 Boylston St,Boston,Suffolk,MA,2116,16.211,19.5,RFS439294,-71.083140437296,42.348604986096,17.8555
Vinny's Pizza & Roast Beef Inc,Limited-Service Restaurants,722513,44 Jefferson Ave,Salem,Essex,MA,1970,6.435297,9,RFS393101,-70.90034821231,42.513175466259,7.7176485
Vins and Viandes,Limited-Service Restaurants,722513,76 Main St,North Adams,Berkshire,MA,1247,0.946638,3.392,RFS430026,-73.112293227944,42.698985977413,2.169319
Vintage Grill,Limited-Service Restaurants,722513,346 Shrewsbury St,Worcester,Worcester,MA,1604,28.6917345,28.6917345,RFS377367,-71.777920119987,42.269915608082,28.6917345
Vintage Restaurant Lounge,Full-Service Restaurants,722511,72 Broad St,Boston,Suffolk,MA,2110,19.32,23.744,RFS248826,-71.052934319063,42.357668499869,21.532
Vintage Table,Full-Service Restaurants,722511,33 Florence St,Natick,Middlesex,MA,1760,2.8005285,2.8005285,RFS165920,-71.343947601227,42.289562990436,2.8005285
Violet Rice Inc,Full-Service Restaurants,722511,287 Main St,Worcester,Worcester,MA,1608,11.4766905,20.352,RFS149526,-71.800943951631,42.266410937136,15.91434525
VIP Pizza,Limited-Service Restaurants,722513,484 Main St,Worcester,Worcester,MA,1608,3.054414,18,RFS398686,-71.802788337885,42.262258506797,10.527207
Vip's Grill Inc.,Limited-Service Restaurants,722513,487 Essex St,Lawrence,Essex,MA,1840,1.4395095,10.5,RFS398942,-71.165267897725,42.706138912639,5.96975475
Viriditas,Limited-Service Restaurants,722513,6 Waldo St,Worcester,Worcester,MA,1608,3.8931255,10.5,RFS412919,-71.800224122125,42.265470902742,7.19656275
"Vista Verde, Corp.",Full-Service Restaurants,722511,274 South St,Hingham,Plymouth,MA,2043,46.886928,79.712,RFS145648,-70.901173097848,42.238458666132,63.299464
Vita Dolce Cafe LLC,Full-Service Restaurants,722511,1698 Commonwealth Ave,Brighton,Suffolk,MA,2135,1.571955,1.571955,RFS92599,-71.146693311392,42.341329175442,1.571955
"Vitoria Bakery & Burgers, Inc.",Limited-Service Restaurants,722513,798 Broadway,Everett,Middlesex,MA,2149,0.6863835,1.5,RFS432656,-71.046460614974,42.417349264458,1.09319175
Vittorios Grill,Limited-Service Restaurants,722513,1398 Beacon St,Brookline,Norfolk,MA,2446,12.39645,18,RFS313195,-71.124674469761,42.341489607269,15.198225
Vivald Pizzeria,Limited-Service Restaurants,722513,33 Park Plz,Lee,Berkshire,MA,1238,12.283656,18,RFS374054,-73.246493681738,42.303867240921,15.141828
Vivi Cafe,Full-Service Restaurants,722511,182 Massachusetts Ave,Boston,Suffolk,MA,2115,1.247,1.5,RFS100309,-71.08697702972,42.345877879456,1.3735
"Viv's Kitchen, LLC",Full-Service Restaurants,722511,130 Rt 6a,Orleans,Barnstable,MA,2653,16.56,20.352,RFS63905,-69.993403052425,41.7861941023,18.456
Volpicelli Seasons and Blends,Full-Service Restaurants,722511,14 Hadley St,North Billerica,Middlesex,MA,1862,1.482723,8.48,RFS71851,-71.278737430712,42.572073685753,4.9813615
"Volturno, LLC",Full-Service Restaurants,722511,72 Shrewsbury St Ste 2,Worcester,Worcester,MA,1604,6.6227205,6.6227205,RFS248907,-71.790751177595,42.263281288721,6.6227205
Vongs,Full-Service Restaurants,722511,157 Seymour St,Pittsfield,Berkshire,MA,1201,11.2600125,18.656,RFS85402,-73.251360643105,42.460297407795,14.95800625
Voteforthebest LLC,Full-Service Restaurants,722511,14 Pond St,Hopkinton,Middlesex,MA,1748,13.531518,20.352,RFS71942,-71.558742704961,42.216510572467,16.941759
"Voung, Hien Restaurant",Full-Service Restaurants,722511,76 Green St,Worcester,Worcester,MA,1604,1.7143995,10.176,RFS254447,-71.797998171148,42.258184084105,5.94519975
Vuong Gourmet Inc,Full-Service Restaurants,722511,104 Highland St,Worcester,Worcester,MA,1609,2.3939025,2.3939025,RFS35418,-71.806660072044,42.271146526447,2.3939025
Vv's Kitchen LLC,Full-Service Restaurants,722511,200 VFW Dr,Rockland,Plymouth,MA,2370,1.4395095,11.872,RFS109973,-70.916296568985,42.148179151277,6.65575475
"W & B Restaurants, Inc.",Limited-Service Restaurants,722513,111 Speen St,Framingham,Middlesex,MA,1701,1.463748,9,RFS295774,-71.384589013518,42.31010456981,5.231874
"W. Hanna Pizza, Inc.",Limited-Service Restaurants,722513,662 Hancock St,Quincy,Norfolk,MA,2170,8.2643055,12,RFS420701,-71.016190335455,42.267832288939,10.13215275
Wag This Way,Full-Service Restaurants,722511,46 Curve St,Natick,Middlesex,MA,1760,7.8933855,11.872,RFS200610,-71.356587659744,42.276613199794,9.88269275
Wag This Way Inc,Full-Service Restaurants,722511,51 Bedford St,Whitman,Plymouth,MA,2382,0.596904,0.596904,RFS211533,-70.950198355513,42.062172302194,0.596904
"Wag Your Tail, LLC",Full-Service Restaurants,722511,96 Queen Anne Rd APT 106,Harwich,Barnstable,MA,2645,15.18,18.656,RFS279947,-70.106784381318,41.697513714389,16.918
Wagging Dog Bakery,Limited-Service Restaurants,722513,65 Douglas Dr,Bellingham,Norfolk,MA,2019,3.143052,12,RFS419411,-71.471325126834,42.065299396501,7.571526
Wah Cheung Hing Inc,Limited-Service Restaurants,722513,38 Billings Rd Ste 4,Quincy,Norfolk,MA,2171,8.2643055,12,RFS382404,-71.025588155897,42.273413957854,10.13215275
"Wah Hoi, LLC",Limited-Service Restaurants,722513,51 Oak St EXT,Brockton,Plymouth,MA,2301,15.961506,24,RFS402686,-71.065020378909,42.099850690069,19.980753
Wah Seng Inc,Limited-Service Restaurants,722513,249 Mohawk Trl,Greenfield,Franklin,MA,1301,9.132321,15,RFS354640,-72.627413177187,42.586657178374,12.0661605
Wah Zhen Company Inc,Limited-Service Restaurants,722513,880 W Boylston St,Worcester,Worcester,MA,1606,1.5203595,7.5,RFS440023,-71.794077493868,42.322742133028,4.51017975
Wahlburgers Franchising LLC,Limited-Service Restaurants,722513,350 Lincoln St Ste 2501,Hingham,Plymouth,MA,2043,20.0864235,60,RFS377937,-70.916319364853,42.249199548983,40.04321175
"Wakim Enterprises, Inc.",Full-Service Restaurants,722511,433 Station Ave,South Yarmouth,Barnstable,MA,2664,2.5751715,2.5751715,RFS195036,-70.207222656382,41.684460557529,2.5751715
Walburgers,Limited-Service Restaurants,722513,132 Brookline Ave,Boston,Suffolk,MA,2215,7.482,9,RFS309834,-71.100639410136,42.345094314002,8.241
Walden Cafe LLC,Full-Service Restaurants,722511,295 Elliot St,Newton Upper Falls,Middlesex,MA,2464,1.4395095,11.872,RFS151928,-71.220876062445,42.312774636497,6.65575475
Walden Italian Kitchen,Full-Service Restaurants,722511,92 Commonwealth Ave,Concord,Middlesex,MA,1742,3.8520075,16.96,RFS275429,-71.395245127846,42.45714695006,10.40600375
